property_id,property_name,city,state,site_review_count,site_review_rating
HTLGBO1000018964,Buddha Guest House,Varanasi,Uttar Pradesh,1,3.6
HTLGBO1000001112,Brunton Heights,Bangalore,Karnataka,6,4.1
HTLGBO1000048078,BLOSSOM BREEZE HOME STAY,Coorg,Karnataka,,
HTLGBO1000051464,Chithra Hotel,Kanyakumari,Tamil Nadu,,
HTLGBO1000064778,Bluemoon Adventures,Mount Abu,Rajasthan,,
HTLGBO1000040900,BUY-N-SAVE,Srinagar,Jammu and Kashmir,,
HTLGBO1000030994,Camp Snowwoods,Kanatal,Uttarakhand,,
HTLGBO1000078602,Blue Mountain Hotel,Bangalore,Karnataka,,
HTLGBO1000078592,Chandrama Guest House,Puri,Orissa,,
HTLGBO1000008806,Blackbuck Resort by Jungle Lodges,Raichur,Karnataka,3,4.3
HTLGBO1000078146,Chand V Regency,Thrissur,Kerala,,
HTLGBO1000002170,Buddha Heritage,Patna,Bihar,20,4
HTLGBO1000089738,Casa D.C.M &amp; Esmeralda,Goa,Goa,,
HTLGBO1000077924,Charanpahari Hotel,Delhi,Delhi,1,1
HTLGBO1000048394,Camp Chrysalid Kambre,Pune,Maharashtra,,
HTLGBO1000060458,Casito,Munnar,Kerala,,
HTLGBO1000007246,Chandra Mahal Haveli - Peharsar,Bharatpur,Rajasthan,8,4.5
HTLGBO1000048572,Castle Service Apartments Goregaon East,Mumbai,Maharashtra,,
HTLGBO1000006735,Camp Footloose,Rishikesh,Uttarakhand,,
HTLGBO1000075286,BNT Dharamshala,Mayurbhanj,Orissa,,
HTLGBO1000048134,Castle Service Apartment,Mumbai,Maharashtra,,
HTLGBO1000000372,Chettinadu Mansion,Karaikkudi,Tamil Nadu,10,5
HTLGBO1000012973,Bungalow 6,Lonavala,Maharashtra,1,3.6
HTLGBO1000057262,BHAGWATI HOME STAY,Kullu,Himachal Pradesh,,
HTLGBO1000077906,BLUE PINE RETREAT,Kolkata,West Bengal,,
HTLGBO1000025430,Casa D Souza,Goa,Goa,,
HTLGBO1000010485,Catalyst Suites (Old Airport ),Bangalore,Karnataka,3,4.9
HTLGBO1000032720,Camp Wild,Faridabad,Haryana,,
HTLGBO1000017894,Casa D Calma,Goa,Goa,11,3.7
HTLGBO1000015228,Chopra residency,Hamirpur,Himachal Pradesh,27,4.5
HTLGBO1000048364,Cherisha Zone Hotel,Gurgaon,Haryana,,
HTLGBO1000089374,Cibori Cloud,Manali,Himachal Pradesh,7,4.2
HTLGBO1000060418,Bhavani Residency,Nellore,Andhra Pradesh,,
HTLGBO1000044338,Boat New Engilla,Srinagar,Jammu and Kashmir,,
HTLGBO1000072326,C 9 Service Apartments,Hyderabad,Andhra Pradesh,,
HTLGBO1000086834,"Catch22 Hospitality Services , OMR Sholinganallur",Chennai,Tamil Nadu,2,4.3
HTLGBO1000011662,Bombay Beach Resort,Mandarmani,West Bengal,185,4.2
HTLGBO1000003000,Cedar Inn,Darjeeling,West Bengal,2,5
HTLGBO1000004715,Butt Clermont Houseboat,Srinagar,Jammu and Kashmir,,
HTLGBO1000000374,Cambay Grand,Ahmedabad,Gujarat,55,2.9
HTLGBO1000009587,Cherry Tree Hotels,Indore,Madhya Pradesh,107,3.7
HTLGBO1000029818,Castle View,Mussoorie,Uttarakhand,85,3.1
HTLGBO1000009364,Bharat Mahal Palace,Jaipur,Rajasthan,5,4.8
HTLGBO1000013174,Bhambri House,Greater Noida,Uttar Pradesh,,
HTLGBO1000012819,Callista Inn South City,Gurgaon,Haryana,,
HTLGBO1000065548,Camp High 5,Tehri,Uttarakhand,,
HTLGBO1000012412,Celestial Resorts,Kotagiri,Tamil Nadu,19,3
HTLGBO1000073226,Cesolo Alibaug,Raigad,Maharashtra,,
HTLGBO1000077300,Bombay Nightout,Mumbai,Maharashtra,,
HTLGBO1000004008,ChanderMukhi Cottage,Manali,Himachal Pradesh,11,3.5
